CVE_CUENTA,CVE_PERIODO,CVE_ESTADO,CVE_MUNICIPIO,CVE_INSTITUCION,CUENTAS_NOMINA,CUENTAS_TOTALES,CUENTAS_MA,CUNETAS_NIVEL1,CUENTAS_NIVEL2,CUENTAS_NIVEL3,CUENTAS_NIVEL4,CUENTAS_AHORRO,CUENTAS_PLAZOFIJO,,,,,,,,
"1,000,115",202005,2,2005,40036,0,118,118,0,0,0,118,0,0,,,,,,,,
"1,000,116",202005,2,2005,40044,726,2212,1486,0,1,0,2211,0,99,,,,,,,,
"1,000,117",202005,2,2005,40072,3188,5183,1995,0,955,95,4133,0,135,,,,,,,,
"1,000,118",202005,2,2005,40127,62,4139,4077,0,0,0,4139,0,36,,,,,,,,
"1,000,119",202005,2,2005,40130,0,100,100,0,0,0,100,0,5,,,,,,,,
"1,000,120",202005,2,2005,40137,248,17568,17320,0,0,0,17568,0,20,,,,,,,,
"1,000,121",202005,2,2005,40150,0,1,1,0,0,0,1,0,2,,,,,,,,
"1,000,122",202005,3,3001,40002,5435,13874,8439,0,900,0,12974,0,296,,,,,,,,
"1,000,123",202005,3,3001,40012,4495,8415,3920,0,1662,0,6753,0,2,,,,,,,,
"1,000,124",202005,3,3001,40014,5356,9583,4227,0,2,0,9581,0,681,,,,,,,,
"1,000,125",202005,3,3001,40127,93,2144,2051,0,0,0,2144,0,22,,,,,,,,
"1,000,126",202005,3,3001,40130,0,44,44,0,2,0,42,0,1,,,,,,,,
"1,000,127",202005,3,3001,40137,319,14700,14381,0,0,0,14700,0,1,,,,,,,,
"1,000,128",202005,3,3002,40002,5035,13229,8194,0,1066,0,12163,0,407,,,,,,,,
"1,000,129",202005,3,3002,40012,8289,14776,6487,0,2309,0,12467,0,3,,,,,,,,
"1,000,130",202005,3,3002,40072,0,0,0,0,0,0,0,0,54,,,,,,,,
"1,000,131",202005,3,3002,40127,70,760,690,0,0,0,760,0,2,,,,,,,,
"1,000,132",202005,3,3002,40137,292,12442,12150,0,0,0,12442,0,97,,,,,,,,
"1,000,133",202005,3,3003,40002,19350,64513,45163,0,21925,0,42588,0,1022,,,,,,,,
"1,000,134",202005,3,3003,40012,32285,66220,33935,0,8930,0,57290,0,50,,,,,,,,
"1,000,135",202005,3,3003,40014,19440,39473,20033,0,1243,275,37955,0,2026,,,,,,,,
"1,000,136",202005,3,3003,40021,5709,15418,9709,0,0,0,15418,0,296,,,,,,,,
"1,000,137",202005,3,3003,40030,1236,3598,2362,0,5,0,3593,0,68,,,,,,,,
"1,000,138",202005,3,3003,40036,204,2418,2214,0,14,0,2404,0,76,,,,,,,,
"1,000,139",202005,3,3003,40044,552,2493,1941,0,137,0,2356,0,49,,,,,,,,
"1,000,140",202005,3,3003,40072,19585,33727,14142,0,4317,887,28523,0,1091,,,,,,,,
"1,000,141",202005,3,3003,40127,1006,12993,11987,9,0,0,12984,0,39,,,,,,,,
"1,000,142",202005,3,3003,40130,0,3123,3123,0,86,0,3037,0,162,,,,,,,,
"1,000,143",202005,3,3003,40136,0,848,848,0,0,0,848,0,35,,,,,,,,
"1,000,144",202005,3,3003,40137,733,27700,26967,0,0,0,27700,0,44,,,,,,,,
"1,000,145",202005,3,3003,40143,0,105,105,0,0,0,105,0,39,,,,,,,,
"1,000,146",202005,3,3003,40150,0,4,4,0,0,0,4,0,2,,,,,,,,
