ID_CAPTACION,CVE_PERIODO,CVE_ESTADO,CVE_MUNICIPIO,CVE_INSTITUCION,SALDO_NOMINA,SALDO_TRANS_TOTAL,SALDO_TRANS_MA,SALDO_TRANS_N1,SALDO_TRANS_N2,SALDO_TRANS_N3,SALDO_TRANS_N4,SALDO_AHORRO,SALDO_PLAZO_FIJO
2000181,202005,2,2004,40044,122335052,2374573003,2252237951,0,3560995,0,2371012008,0,697246059
2000182,202005,2,2004,40058,4205522,1777010424,1772804902,0,5059493,0,1771950931,0,561036068
2000183,202005,2,2004,40062,66566715,293130661,226563946,0,0,0,293130661,0,41330176
2000184,202005,2,2004,40072,1093739789,8499502335,7405762546,0,93294447,43482193,8362725695,0,782260251
2000185,202005,2,2004,40112,0,517636638,517636638,0,0,0,517636638,0,356374717
2000186,202005,2,2004,40127,15698885,1292480751,1276781866,2602,0,0,1292478149,0,86730559
2000187,202005,2,2004,40130,0,29841627,29841627,0,471455,0,29370172,0,12576765
2000188,202005,2,2004,40131,0,110166849,110166849,0,0,0,110166849,0,213775222
2000189,202005,2,2004,40136,0,216420953,216420953,0,0,0,216420953,0,58182650
2000190,202005,2,2004,40137,10386756,2293281400,2282894644,0,0,0,2293281400,0,12002485
2000191,202005,2,2004,40143,0,114587200,114587200,0,0,0,114587200,0,21521544
2000192,202005,2,2004,40145,0,71562804,71562804,0,0,0,71562804,0,112848960
2000193,202005,2,2004,40150,0,8451455,8451455,0,0,0,8451455,0,12653370
2000205,202005,2,2005,40002,142758501,1195027151,1052268650,0,5092514,0,1189934637,2905,104218600
2000206,202005,2,2005,40012,114034634,430448358,316413724,0,7584557,0,422863801,0,3469007
2000207,202005,2,2005,40014,22670736,284895393,262224657,0,88943,18435,284788015,0,44419500
2000208,202005,2,2005,40036,0,3514261,3514261,0,0,0,3514261,0,0
2000209,202005,2,2005,40044,5049025,254657396,249608371,0,1706,0,254655690,0,57356786
2000210,202005,2,2005,40072,38454782,316877505,278422723,0,3418917,1263482,312195106,0,59617258
2000211,202005,2,2005,40127,81399,50540691,50459292,0,0,0,50540691,0,9140576
2000212,202005,2,2005,40130,0,781595,781595,0,0,0,781595,0,332798
2000213,202005,2,2005,40137,1010804,177072769,176061965,0,0,0,177072769,0,1025522
2000214,202005,2,2005,40150,0,15139,15139,0,0,0,15139,0,1641652
2000222,202005,3,3001,40002,88373151,452944002,364570851,0,420977,0,452523025,0,100889656
2000223,202005,3,3001,40012,86575051,198224189,111649138,0,2732648,0,195491541,0,1437000
2000224,202005,3,3001,40014,71082525,438424026,367341501,0,5988,0,438418038,0,193293706
2000225,202005,3,3001,40127,296852,31819806,31522954,0,0,0,31819806,0,5890021
2000226,202005,3,3001,40130,0,236764,236764,0,389,0,236375,0,1007
2000227,202005,3,3001,40137,628808,118332773,117703965,0,0,0,118332773,0,20660
2000233,202005,3,3002,40002,98282269,463120657,364838388,0,1553705,0,461566952,0,193885665
2000234,202005,3,3002,40012,179235805,393151298,213915493,0,6293787,0,386857511,0,2900000
2000235,202005,3,3002,40072,0,0,0,0,0,0,0,0,31011884
2000236,202005,3,3002,40127,180242,4514192,4333950,0,0,0,4514192,0,1947339
2000237,202005,3,3002,40137,484685,75998020,75513335,0,0,0,75998020,0,2642459
2000243,202005,3,3003,40002,290315119,1813861383,1523546264,0,12412807,0,1801448576,0,254990335
2000244,202005,3,3003,40012,704623270,3866238717,3161615447,0,18697318,0,3847541399,0,33555038
2000245,202005,3,3003,40014,223877102,1667673802,1443796700,0,1242974,851698,1665579130,0,336635038
2000246,202005,3,3003,40021,24847603,394712615,369865012,0,0,0,394712615,0,226676160
2000247,202005,3,3003,40030,3729270,121526565,117797295,0,343,0,121526222,0,264070265
2000248,202005,3,3003,40036,1645637,295756010,294110373,0,10976,0,295745034,0,118042319
2000249,202005,3,3003,40044,6502286,215307106,208804820,0,133438,0,215173668,0,73066545
2000250,202005,3,3003,40072,240795706,2163555974,1922760268,0,16920550,9264272,2137371152,0,753307346
2000251,202005,3,3003,40127,4498923,170056188,165557265,17718,0,0,170038470,0,23458561
2000252,202005,3,3003,40130,0,8801812,8801812,0,173716,0,8628096,0,1938006
2000253,202005,3,3003,40136,0,140547072,140547072,0,0,0,140547072,0,49380629
2000254,202005,3,3003,40137,1929306,184514763,182585457,0,0,0,184514763,0,1620105
2000255,202005,3,3003,40143,0,6906071,6906071,0,0,0,6906071,0,4593934
2000256,202005,3,3003,40150,0,25796,25796,0,0,0,25796,0,2134330
2000268,202005,3,3008,40002,170528346,1937344550,1766816204,0,7072817,0,1930271733,10706,132217731
2000269,202005,3,3008,40012,390192725,3163155664,2772962939,0,16439559,0,3146716105,0,14204017
2000270,202005,3,3008,40014,252051345,2071279240,1819227895,0,116581,2719997,2068442662,113,162403609
2000271,202005,3,3008,40021,29992498,1187356673,1157364175,0,0,0,1187356673,0,73134730
2000272,202005,3,3008,40036,237951,78181621,77943670,0,19194,0,78162427,0,1212036
2000273,202005,3,3008,40042,0,64832495,64832495,0,0,0,64832495,0,16674486
2000274,202005,3,3008,40044,9425277,1717923755,1708498478,0,68082,0,1717855673,0,100878526
2000275,202005,3,3008,40058,0,146736417,146736417,0,136059,0,146600358,0,39076473
2000276,202005,3,3008,40072,263107113,3229242164,2966135051,0,22841841,19498440,3186901883,0,379206802
2000277,202005,3,3008,40112,0,200113502,200113502,0,0,0,200113502,0,104528847
2000278,202005,3,3008,40127,2393108,140348276,137955168,0,0,0,140348276,0,17346203
2000279,202005,3,3008,40130,0,9953932,9953932,0,3485,0,9950447,0,2905342
2000280,202005,3,3008,40136,0,480414663,480414663,0,0,0,480414663,0,170349008
2000281,202005,3,3008,40137,2945068,378938035,375992967,0,0,0,378938035,0,1359231
2000282,202005,3,3008,40143,0,12069708,12069708,0,0,0,12069708,0,30614465
2000294,202005,3,3009,40002,118191,211340,93149,0,96169,0,115171,0,0
2000295,202005,3,3009,40012,56618479,258359921,201741442,0,1620151,2035,256737735,0,1234000
2000296,202005,3,3009,40127,449905,10945843,10495938,0,0,0,10945843,0,2180241
2000302,202005,4,4001,40002,43733234,163602149,119868915,0,684030,0,162918119,0,69389069
2000303,202005,4,4001,40012,74420178,124482680,50062502,0,1151590,1,123331089,0,2735228
2000304,202005,4,4001,40127,193175,23528587,23335412,0,0,0,23528587,0,1270653
2000305,202005,4,4001,40130,0,892438,892438,0,63,0,892375,0,58090
2000306,202005,4,4001,40137,59323,9573221,9513898,0,0,0,9573221,0,623048
2000307,202005,4,4001,40150,0,0,0,0,0,0,0,0,236158
2000315,202005,4,4002,40002,237365286,1153956728,916591442,0,19068078,0,1134888650,0,346653462
2000316,202005,4,4002,40012,704928414,2165892096,1460963682,0,17828734,19080,2148044282,0,39463690
2000317,202005,4,4002,40014,337695645,870916137,533220492,0,1462541,392940,869060656,277,284634199
2000318,202005,4,4002,40021,116986934,554130554,437143620,0,0,0,554130554,0,371549838
2000319,202005,4,4002,40036,490525,424382063,423891538,0,5587,0,424376476,0,70337569
2000320,202005,4,4002,40044,7741887,191730315,183988428,0,2106204,0,189624111,0,300569552
2000321,202005,4,4002,40062,10462548,84588181,74125633,0,0,0,84588181,0,0
2000322,202005,4,4002,40072,202895267,1088025376,885130109,0,5815137,6322371,1075887868,0,510665061
2000323,202005,4,4002,40127,892605,229394692,228502087,1311,33715,0,229359666,0,11533114
2000324,202005,4,4002,40130,0,6168079,6168079,0,33836,0,6134243,0,1812521
2000325,202005,4,4002,40137,1348623,137529839,136181216,0,0,0,137529839,0,1398697
2000326,202005,4,4002,40143,0,10502082,10502082,0,0,0,10502082,0,1258037
2000327,202005,4,4002,40150,0,19954,19954,0,0,0,19954,0,0
2000328,202005,4,4002,40151,0,2389981,2389981,0,0,0,2389981,0,6912549
2000338,202005,4,4003,40002,393792347,1809567682,1415775335,0,10327385,0,1799240297,0,116881757
2000339,202005,4,4003,40012,888846691,2324167276,1435320585,0,13726198,1600,2310439478,0,40385060
2000340,202005,4,4003,40014,171861938,1038142049,866280111,0,688469,90774,1037362806,5706,116965282
2000341,202005,4,4003,40021,150807536,687916989,537109453,0,0,0,687916989,0,182945740
2000342,202005,4,4003,40036,723765,291249352,290525587,0,11113,0,291238239,0,76796418
2000343,202005,4,4003,40044,42683417,196152188,153468771,0,17138,0,196135050,0,89265392
2000344,202005,4,4003,40072,133296970,644341280,511044310,0,6501048,5331052,632509180,0,105105655
2000345,202005,4,4003,40127,1710217,102410978,100700761,0,0,0,102410978,0,9016112
2000346,202005,4,4003,40130,0,6202054,6202054,0,148495,0,6053559,0,3038621
2000347,202005,4,4003,40131,0,5345547,5345547,0,0,0,5345547,0,21047214
2000348,202005,4,4003,40136,0,72909518,72909518,0,0,0,72909518,0,2863078
2000349,202005,4,4003,40137,1558980,167733034,166174054,0,0,0,167733034,0,8232819
2000350,202005,4,4003,40143,0,9982448,9982448,0,0,0,9982448,0,2415540
2000351,202005,4,4003,40150,0,48440,48440,0,0,0,48440,0,7488201
2000352,202005,4,4003,40151,0,49940,49940,0,0,0,49940,0,519949
2000362,202005,4,4004,40002,20486620,126402203,105915583,0,2036001,0,124366202,0,21272011
2000363,202005,4,4004,40012,29799356,70098774,40299418,0,1730010,4965,68363799,0,6265717
2000364,202005,4,4004,40021,11336892,75124884,63787992,0,0,0,75124884,0,112467541
2000365,202005,4,4004,40127,152897,54078050,53925153,0,0,0,54078050,0,5668822
2000366,202005,4,4004,40130,0,376506,376506,0,5243,0,371263,0,55049
2000367,202005,4,4004,40137,348991,44919142,44570151,0,0,0,44919142,0,536882
2000368,202005,4,4004,40151,0,120693,120693,0,0,0,120693,0,304632
2000376,202005,4,4005,40002,0,255595,255595,0,255595,0,0,0,0
2000377,202005,4,4005,40127,76609,12864162,12787553,1292,0,0,12862870,0,881178
2000383,202005,4,4006,40002,0,137850,137850,0,137850,0,0,0,0
2000384,202005,4,4006,40012,30911539,108385385,77473846,0,1663971,689,106720725,0,3467975
2000385,202005,4,4006,40127,0,111353,111353,0,0,0,111353,0,0
